case,impl,metric,old_run_1,old_run_2,old_run_3,current_run_1,current_run_2,current_run_3,old_median,current_median,change_pct,old_peak_rss_kib,current_peak_rss_kib,old_loss_pct_1,old_loss_pct_2,old_loss_pct_3,current_loss_pct_1,current_loss_pct_2,current_loss_pct_3
tcp,classic,mib_s,842.115355,842.033760,841.798685,878.128351,878.144910,878.053318,842.033760,878.128351,4.286597,10836,10800,,,,,,
tcp,go,mib_s,1989.289958,1988.706779,1987.893376,1989.034635,1989.417662,1988.852177,1988.706779,1989.034635,0.016486,27548,27224,,,,,,
unix,classic,mib_s,633.307933,698.161348,749.460431,808.774658,777.875304,777.911055,698.161348,777.911055,11.422819,10532,10492,,,,,,
unix,go,mib_s,1988.921158,1812.139007,1812.037515,1988.592941,1988.433461,1988.530343,1812.139007,1988.530343,9.733874,28036,27232,,,,,,
udp,classic,receive_mib_s,1183.327864,1183.128337,1118.341864,1182.989887,1183.182154,1182.937110,1183.128337,1182.989887,-0.011702,10776,10724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
udp,go,receive_mib_s,1337.646428,1338.245645,1337.959511,1255.372288,1337.089762,1337.873230,1337.959511,1337.089762,-0.065006,32148,31380,0.000000,0.000000,0.000000,0.000000,0.002283,0.000000
tls,classic,mib_s,842.043324,917.476164,878.087705,777.806026,960.477345,878.051362,878.087705,878.051362,-0.004139,21576,21584,,,,,,
tls,go,mib_s,1255.525498,1255.337660,1255.776839,1255.504600,1255.127359,1255.512589,1255.525498,1255.504600,-0.001665,30932,29532,,,,,,
dtls,classic,receive_mib_s,143.683681,138.804570,153.388920,145.706928,141.676543,146.779458,143.683681,145.706928,1.408126,21412,21572,0.003273,0.004021,0.005330,0.015241,0.011782,0.002712
dtls,go,receive_mib_s,40.161555,43.277074,42.818008,39.510125,40.529618,39.409329,42.818008,39.510125,-7.725449,40316,39056,0.633588,0.000000,0.004769,0.001216,0.003273,0.050867
dtls-rr,classic,rtt_us,85.218999,86.768996,86.789994,83.740000,85.328997,85.259002,86.768996,85.259002,-1.740246,11076,11160,,,,,,
dtls-rr,go,rtt_us,255.633000,248.285000,249.159000,254.113000,253.694000,252.753000,249.159000,253.694000,1.820123,19800,19512,,,,,,
dtls-hs,classic,hs_s,661.834233,668.038656,676.021246,681.391292,682.382611,678.726047,668.038656,681.391292,1.998782,25108,24972,,,,,,
dtls-hs,go,hs_s,626.867591,626.644645,625.906118,638.146742,648.890876,643.020912,626.644645,643.020912,2.613326,19824,19176,,,,,,
